PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,DistFromSunParsec,SurfaceTempK
Kepler-8 b,0.59,1.42,1330,1519.5
HAT-P-56 b,2.18,1.466,310.5,1840
Kepler-266 b,,0.226,1577.36,
Kepler-266 c,,0.3545,1577.36,
Kepler-920 b,,0.216,,
Kepler-920 c,,0.339,,
Kepler-890 b,,0.793,,
HD 12661 b,2.3,,37.16,291.4
HD 12661 c,1.57,,37.16,167.5
Kepler-213 b,,0.14763,702.35,
Kepler-213 c,,0.21324,702.35,
HD 128311 b,1.83,,16.6,177.7
HD 128311 c,3.2,,16.6,140.7
WASP-49 b,0.378,1.115,170,1369
Kepler-44 b,1,1.09,2250,
HD 72892 b,5.45,,72.78,
Kepler-1043 b,,0.227,,
Kepler-1306 b,,0.17,,
Kepler-821 b,,0.117,,
WASP-138 b,1.22,,308,
Kepler-242 b,,0.23785,859.95,
Kepler-242 c,,0.18226,859.95,
Kepler-518 b,,0.188,,
Kepler-1069 b,,0.143,,
Kepler-1475 b,,0.261,,
Kepler-706 b,,1.175,,
Kepler-170 b,,0.29162,849.82,
Kepler-170 c,,0.26063,849.82,
Kepler-1065 b,,0.333,,
Kepler-1065 c,,0.143,,
CVSO 30 b,6.2,1.91,330,
CVSO 30 c,4.7,1.63,330,1600
HD 175167 b,7.8,,67.02,154
Kepler-725 b,,0.948,,
Kepler-1394 b,,0.124,,
Kepler-795 b,,0.15,,
Kepler-94 b,0.034099,0.319867,223,
Kepler-94 c,9.83346,,223,
TYC 3667-1280-1 b,5.4,,481,
Kepler-1329 b,,0.194,,
HD 202206 b,17.4,,46.34,277.6
